date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:08	70/70	---M-Z	200	added ('OK')	text/plain	date:Tue,%2027%20Oct%202020%2018:25:08%20GMT	https://walkfresh.co.za/robots.txt		(from )
20:25:09	101520/101520	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Oct%202020%2018:25:08%20GMT	https://walkfresh.co.za/	C:/Users/Lindani%20Mabaso/Desktop/dripkleen.co.za/dripclean/walkfresh.co.za/index.html	(from )
20:25:09	261/261	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Oct%202020%2018:25:09%20GMT	http://grtesting.co.za/walk/website/wp-content/uploads/2019/05/logo-e1557831528429.png	C:/Users/Lindani%20Mabaso/Desktop/dripkleen.co.za/dripclean/grtesting.co.za/walk/website/wp-content/uploads/2019/05/logo-e1557831528429.0.delayed	(from https://walkfresh.co.za/)
20:25:11	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Tue,%2027%20Oct%202020%2018:25:11%20GMT	https://walkfresh.co.za/wp-admin/admin-ajax.php	C:/Users/Lindani%20Mabaso/Desktop/dripkleen.co.za/dripclean/walkfresh.co.za/wp-admin/admin-ajax.php	(from https://walkfresh.co.za/)
20:25:13	46489/46489	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2001:50:37%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Lindani%20Mabaso/Desktop/dripkleen.co.za/dripclean/www.google-analytics.com/analytics.js	(from https://walkfresh.co.za/)
20:25:14	80053/80053	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Oct%202020%2018:25:13%20GMT	https://walkfresh.co.za/linkid.js	C:/Users/Lindani%20Mabaso/Desktop/dripkleen.co.za/dripclean/walkfresh.co.za/linkid.3.delayed	(from https://walkfresh.co.za/)
20:25:14	15553/15553	---MC-	200	added ('OK')	application/rss+xml	etag:%225d4a76e01ebed741e68672e2a032b6ff%22	https://walkfresh.co.za/feed/	C:/Users/Lindani%20Mabaso/Desktop/dripkleen.co.za/dripclean/walkfresh.co.za/feed/index.html	(from https://walkfresh.co.za/)
20:25:14	736/736	---MC-	200	added ('OK')	application/rss+xml	etag:%22e88623f63e7972967ffb1c478ae8d428%22	https://walkfresh.co.za/comments/feed/	C:/Users/Lindani%20Mabaso/Desktop/dripkleen.co.za/dripclean/walkfresh.co.za/comments/feed/index.html	(from https://walkfresh.co.za/)
20:25:14	41045/41045	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2009:48:48%20GMT	https://walkfresh.co.za/wp-includes/css/dist/block-library/style.min.css?ver=5.3.4	C:/Users/Lindani%20Mabaso/Desktop/dripkleen.co.za/dripclean/walkfresh.co.za/wp-includes/css/dist/block-library/style.min03ec.css	(from https://walkfresh.co.za/)
20:25:14	741/741	---MC-	200	added ('OK')	application/rss+xml	etag:%22e88623f63e7972967ffb1c478ae8d428%22	https://walkfresh.co.za/front-page/home/feed/	C:/Users/Lindani%20Mabaso/Desktop/dripkleen.co.za/dripclean/walkfresh.co.za/front-page/home/feed/index.html	(from https://walkfresh.co.za/)
